quarter,level_1,level_2,value
1992-Q3,Residential Properties,Landed,52.7
1992-Q3,Residential Properties,Non-landed,55.2
1992-Q4,Residential Properties,Landed,54.7
1992-Q4,Residential Properties,Non-landed,56.3
1993-Q1,Residential Properties,Landed,60.4
1993-Q1,Residential Properties,Non-landed,57.2
1993-Q2,Residential Properties,Landed,69.8
1993-Q2,Residential Properties,Non-landed,61.6
1993-Q3,Residential Properties,Landed,79.4
1993-Q3,Residential Properties,Non-landed,65.4
1993-Q4,Residential Properties,Landed,84.5
1993-Q4,Residential Properties,Non-landed,68.5
1994-Q1,Residential Properties,Landed,95.2
1994-Q1,Residential Properties,Non-landed,72.7
1994-Q2,Residential Properties,Landed,107.6
1994-Q2,Residential Properties,Non-landed,83.4
1994-Q3,Residential Properties,Landed,125.8
1994-Q3,Residential Properties,Non-landed,88.7
1994-Q4,Residential Properties,Landed,126.7
1994-Q4,Residential Properties,Non-landed,92.3
1995-Q1,Residential Properties,Landed,129.6
1995-Q1,Residential Properties,Non-landed,95.2
1995-Q2,Residential Properties,Landed,130.5
1995-Q2,Residential Properties,Non-landed,96.8
1995-Q3,Residential Properties,Landed,133.2
1995-Q3,Residential Properties,Non-landed,97.7
1995-Q4,Residential Properties,Landed,135.1
1995-Q4,Residential Properties,Non-landed,105.5
1996-Q1,Residential Properties,Landed,138.4
1996-Q1,Residential Properties,Non-landed,110.8
1996-Q2,Residential Properties,Landed,140.9
1996-Q2,Residential Properties,Non-landed,122.2
1996-Q3,Residential Properties,Landed,137.8
1996-Q3,Residential Properties,Non-landed,119.9
1996-Q4,Residential Properties,Landed,131.7
1996-Q4,Residential Properties,Non-landed,118.8
1997-Q1,Residential Properties,Landed,129.9
1997-Q1,Residential Properties,Non-landed,111.9
1997-Q2,Residential Properties,Landed,128.9
1997-Q2,Residential Properties,Non-landed,110.9
1997-Q3,Residential Properties,Landed,123.2
1997-Q3,Residential Properties,Non-landed,106.2
1997-Q4,Residential Properties,Landed,116.8
1997-Q4,Residential Properties,Non-landed,102.9
1998-Q1,Residential Properties,Landed,106.3
1998-Q1,Residential Properties,Non-landed,93
1998-Q2,Residential Properties,Landed,97.2
1998-Q2,Residential Properties,Non-landed,85.4
1998-Q3,Residential Properties,Landed,81.3
1998-Q3,Residential Properties,Non-landed,76.8
1998-Q4,Residential Properties,Landed,72.8
1998-Q4,Residential Properties,Non-landed,71.2
1999-Q1,Residential Properties,Landed,76.5
1999-Q1,Residential Properties,Non-landed,75.2
1999-Q2,Residential Properties,Landed,87
1999-Q2,Residential Properties,Non-landed,83.5
1999-Q3,Residential Properties,Landed,93.8
1999-Q3,Residential Properties,Non-landed,90.4
1999-Q4,Residential Properties,Landed,98.8
1999-Q4,Residential Properties,Non-landed,95.1
2000-Q1,Residential Properties,Landed,100.7
2000-Q1,Residential Properties,Non-landed,98.5
2000-Q2,Residential Properties,Landed,101
2000-Q2,Residential Properties,Non-landed,100.4
2000-Q3,Residential Properties,Landed,98.5
2000-Q3,Residential Properties,Non-landed,97.7
2000-Q4,Residential Properties,Landed,97.2
2000-Q4,Residential Properties,Non-landed,94.2
2001-Q1,Residential Properties,Landed,94.4
2001-Q1,Residential Properties,Non-landed,90
2001-Q2,Residential Properties,Landed,92
