"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"9043","TRELLIS TOWERS","LORONG 1 TOA PAYOH","Condominium","12","RCR","Freehold","Resale","1","830000","-","549","Strata","16 to 20","1512","May-2017"
"9044","PINNACLE 16","SHAN ROAD","Apartment","12","RCR","Freehold","Resale","1","1338000","-","915","Strata","16 to 20","1462","May-2017"
"9045","EASTERN LAGOON","UPPER EAST COAST ROAD","Condominium","15","OCR","Freehold","Resale","1","1530000","-","1378","Strata","16 to 20","1110","May-2017"
"9046","THE MEYERISE","MEYER ROAD","Condominium","15","RCR","Freehold","Resale","1","2797000","-","1302","Strata","26 to 30","2148","May-2017"
"9047","AMBER RESIDENCES","AMBER ROAD","Condominium","15","RCR","Freehold","Resale","1","2270000","-","1518","Strata","11 to 15","1496","May-2017"
"9048","MEIER SUITES","MARGATE ROAD","Condominium","15","RCR","Freehold","Resale","1","3400000","-","2228","Strata","11 to 15","1526","May-2017"
"9049","SUITES@ KATONG","TANJONG KATONG ROAD","Apartment","15","RCR","Freehold","Resale","1","638000","-","474","Strata","01 to 05","1347","May-2017"
"9050","MARSHALL LODGE","MARSHALL ROAD","Apartment","15","RCR","Freehold","Resale","1","1688000","-","1776","Strata","01 to 05","950","May-2017"
"9051","THE MEYERISE","MEYER ROAD","Condominium","15","RCR","Freehold","Resale","1","2666000","-","1313","Strata","21 to 25","2030","May-2017"
"9052","AMPAS APARTMENTS","JALAN AMPAS","Apartment","12","RCR","Freehold","Resale","1","1250000","-","1259","Strata","11 to 15","993","May-2017"
"9053","8M RESIDENCES","MARGATE ROAD","Apartment","15","RCR","Freehold","Resale","1","1465468","-","775","Strata","06 to 10","1891","May-2017"
"9054","HAIG ELEVEN","HAIG AVENUE","Apartment","15","RCR","Freehold","Resale","1","1528000","-","1442","Strata","01 to 05","1059","May-2017"
"9055","FULCRUM","FORT ROAD","Condominium","15","RCR","Freehold","Resale","1","973000","-","474","Strata","01 to 05","2054","May-2017"
"9056","VIVA","SUFFOLK WALK","Condominium","11","CCR","Freehold","Resale","1","2680000","-","1346","Strata","21 to 25","1992","May-2017"
"9057","EASTERN LAGOON","UPPER EAST COAST ROAD","Condominium","15","OCR","Freehold","Resale","1","875000","-","753","Strata","01 to 05","1161","May-2017"
"9058","KING'S MANSION","TANJONG KATONG ROAD","Condominium","15","RCR","Freehold","Resale","1","1810000","-","1604","Strata","01 to 05","1129","May-2017"
"9059","THE MEYERISE","MEYER ROAD","Condominium","15","RCR","Freehold","Resale","1","2950000","-","1281","Strata","26 to 30","2303","May-2017"
"9060","8@WOODLEIGH","WOODLEIGH CLOSE","Condominium","13","RCR","99 yrs lease commencing from 2008","Resale","1","570000","-","398","Strata","01 to 05","1431","May-2017"
