"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"1","MIDWOOD","HILLVIEW RISE","Condominium","23","OCR","99 yrs lease commencing from 2018","New Sale","1","1180000","-","689","Strata","16 to 20","1713","Jan-2021"
"2","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1615000","-","861","Strata","06 to 10","1875","Jan-2021"
"3","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1557000","-","861","Strata","01 to 05","1808","Jan-2021"
"4","FORETT AT BUKIT TIMAH","TOH TUCK ROAD","Apartment","21","RCR","Freehold","New Sale","1","1164000","-","570","Strata","06 to 10","2040","Jan-2021"
"5","DAIRY FARM RESIDENCES","DAIRY FARM LANE","Apartment","23","OCR","99 yrs lease commencing from 2018","New Sale","1","980000","-","624","Strata","01 to 05","1570","Jan-2021"
"6","FORETT AT BUKIT TIMAH","TOH TUCK ROAD","Apartment","21","RCR","Freehold","New Sale","1","2517000","-","1302","Strata","01 to 05","1933","Jan-2021"
"7","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1260000","-","743","Strata","01 to 05","1696","Jan-2021"
"8","MIDWOOD","HILLVIEW RISE","Condominium","23","OCR","99 yrs lease commencing from 2018","New Sale","1","793000","-","484","Strata","01 to 05","1637","Jan-2021"
"9","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","2338000","-","1249","Strata","06 to 10","1872","Jan-2021"
"10","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1465000","-","861","Strata","01 to 05","1701","Jan-2021"
"11","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1240000","-","743","Strata","01 to 05","1670","Jan-2021"
"12","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1324000","-","753","Strata","06 to 10","1757","Jan-2021"
"13","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1294000","-","743","Strata","06 to 10","1742","Jan-2021"
"14","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1589000","-","936","Strata","01 to 05","1697","Jan-2021"
"15","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1300000","-","753","Strata","01 to 05","1725","Jan-2021"
"16","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","2108000","-","1173","Strata","01 to 05","1797","Jan-2021"
"17","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1334000","-","743","Strata","01 to 05","1796","Jan-2021"
"18","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1670000","-","980","Strata","06 to 10","1705","Jan-2021"
"19","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1662000","-","980","Strata","01 to 05","1697","Jan-2021"
"20","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1565000","-","936","Strata","01 to 05","1671","Jan-2021"
"21","VIEW AT KISMIS","LORONG KISMIS","Apartment","21","RCR","99 yrs lease commencing from 2019","New Sale","1","1184000","-","700","Strata","01 to 05","1692","Jan-2021"
"22","VERDALE","DE SOUZA AVENUE","Apartment","21","RCR","99 yrs lease commencing from 2018","New Sale","1","1210400","-","732","Strata","01 to 05","1654","Jan-2021"
"23","FORETT AT BUKIT TIMAH","TOH TUCK ROAD","Apartment","21","RCR","Freehold","New Sale","1","1058000","-","624","Strata","06 to 10","1695","Jan-2021"
"24","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","2100000","-","1173","Strata","06 to 10","1790","Jan-2021"
"25","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","2109000","-","1173","Strata","11 to 15","1798","Jan-2021"
"26","KINGSFORD . HILLVIEW PEAK","HILLVIEW RISE","Condominium","23","OCR","99 yrs lease commencing from 2012","Resale","1","1100000","-","829","Strata","11 to 15","1327","Jan-2021"
"27","HILLVISTA","ELIZABETH DRIVE","Condominium","23","OCR","Freehold","Resale","1","1545000","-","1173","Strata","06 to 10","1317","Jan-2021"
"28","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1360000","-","753","Strata","06 to 10","1805","Jan-2021"
"29","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1396000","-","753","Strata","11 to 15","1853","Jan-2021"
"30","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1702000","-","980","Strata","06 to 10","1738","Jan-2021"
"31","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","2153000","-","1173","Strata","06 to 10","1835","Jan-2021"
"32","MAPLE WOODS","BUKIT TIMAH ROAD","Condominium","21","RCR","Freehold","Resale","1","5000000","-","2917","Strata","06 to 10","1714","Jan-2021"
"33","FORETT AT BUKIT TIMAH","TOH TUCK ROAD","Apartment","21","RCR","Freehold","New Sale","1","1383000","-","689","Strata","06 to 10","2008","Jan-2021"
"34","DAIRY FARM RESIDENCES","DAIRY FARM LANE","Apartment","23","OCR","99 yrs lease commencing from 2018","New Sale","1","1193000","-","710","Strata","11 to 15","1679","Jan-2021"
"35","HILLION RESIDENCES","JELEBU ROAD","Apartment","23","OCR","99 yrs lease commencing from 2013","Resale","1","700000","-","463","Strata","16 to 20","1512","Jan-2021"
"36","THE CASCADIA","BUKIT TIMAH ROAD","Condominium","21","RCR","Freehold","Resale","1","1568000","-","883","Strata","01 to 05","1776","Jan-2021"
"37","FORETT AT BUKIT TIMAH","TOH TUCK ROAD","Apartment","21","RCR","Freehold","New Sale","1","1152000","-","570","Strata","06 to 10","2019","Jan-2021"
"38","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","2199000","-","1259","Strata","01 to 05","1746","Jan-2021"
"39","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1318000","-","753","Strata","06 to 10","1749","Jan-2021"
"40","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","2001000","-","1173","Strata","06 to 10","1705","Jan-2021"
"41","NOTTINGHILL SUITES","TOH TUCK ROAD","Apartment","21","RCR","Freehold","Resale","1","670000","-","506","Strata","01 to 05","1324","Jan-2021"
"42","DAIRY FARM RESIDENCES","DAIRY FARM LANE","Apartment","23","OCR","99 yrs lease commencing from 2018","New Sale","1","2020128","-","1335","Strata","11 to 15","1514","Jan-2021"
"43","KINGSFORD . HILLVIEW PEAK","HILLVIEW RISE","Condominium","23","OCR","99 yrs lease commencing from 2012","Resale","1","705000","-","560","Strata","01 to 05","1260","Jan-2021"
"44","HILLVIEW GREEN","HUME AVENUE","Condominium","21","OCR","999 yrs lease commencing from 1883","Resale","1","1650000","-","1582","Strata","01 to 05","1043","Jan-2021"
"45","DAINTREE RESIDENCE","TOH TUCK ROAD","Condominium","21","RCR","99 yrs lease commencing from 2017","New Sale","1","1818120","-","1055","Strata","01 to 05","1724","Jan-2021"
"46","FORETT AT BUKIT TIMAH","TOH TUCK ROAD","Apartment","21","RCR","Freehold","New Sale","1","1516000","-","743","Strata","01 to 05","2041","Jan-2021"
"47","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1258000","-","743","Strata","01 to 05","1694","Jan-2021"
"48","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1701000","-","936","Strata","11 to 15","1816","Jan-2021"
"49","HILLBROOKS","HILLVIEW AVENUE","Condominium","23","OCR","Freehold","Resale","1","1470000","-","1335","Strata","06 to 10","1101","Jan-2021"
"50","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","2117000","-","1173","Strata","06 to 10","1804","Jan-2021"
"51","HILLINGTON GREEN","HILLVIEW AVENUE","Condominium","23","OCR","999 yrs lease commencing from 1883","Resale","1","1655000","-","1356","Strata","06 to 10","1220","Jan-2021"
"52","DAINTREE RESIDENCE","TOH TUCK ROAD","Condominium","21","RCR","99 yrs lease commencing from 2017","New Sale","1","1778500","-","1109","Strata","01 to 05","1604","Jan-2021"
"53","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","2175000","-","1259","Strata","01 to 05","1727","Jan-2021"
"54","DAIRY FARM RESIDENCES","DAIRY FARM LANE","Apartment","23","OCR","99 yrs lease commencing from 2018","New Sale","1","1283900","-","764","Strata","06 to 10","1680","Jan-2021"
"55","VIEW AT KISMIS","LORONG KISMIS","Apartment","21","RCR","99 yrs lease commencing from 2019","New Sale","1","1209000","-","700","Strata","01 to 05","1728","Jan-2021"
"56","VIEW AT KISMIS","LORONG KISMIS","Apartment","21","RCR","99 yrs lease commencing from 2019","New Sale","1","1041000","-","603","Strata","01 to 05","1727","Jan-2021"
"57","THE TENNERY","WOODLANDS ROAD","Apartment","23","OCR","99 yrs lease commencing from 2010","Resale","1","698000","-","614","Strata","16 to 20","1138","Jan-2021"
"58","CASHEW HEIGHTS CONDOMINIUM","CASHEW ROAD","Condominium","23","OCR","999 yrs lease commencing from 1882","Resale","1","2030000","-","1647","Strata","11 to 15","1233","Jan-2021"
"59","THE RAINTREE","BUKIT DRIVE","Condominium","21","OCR","99 yrs lease commencing from 2003","Resale","1","1488000","-","1302","Strata","06 to 10","1142","Jan-2021"
"60","TREE HOUSE","CHESTNUT AVENUE","Condominium","23","OCR","99 yrs lease commencing from 2009","Resale","1","860000","-","807","Strata","11 to 15","1065","Jan-2021"
"61","THE SKYWOODS","DAIRY FARM HEIGHTS","Condominium","23","OCR","99 yrs lease commencing from 2012","Resale","1","815000","-","624","Strata","06 to 10","1305","Jan-2021"
"62","HILLVIEW PARK","HILLVIEW AVENUE","Condominium","23","OCR","Freehold","Resale","1","1600000","-","1324","Strata","01 to 05","1208","Jan-2021"
"63","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1559000","-","861","Strata","01 to 05","1810","Jan-2021"
"64","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1693000","-","936","Strata","06 to 10","1808","Jan-2021"
"65","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","2398000","-","1249","Strata","06 to 10","1921","Jan-2021"
"66","SUITES AT BUKIT TIMAH","JALAN JURONG KECHIL","Apartment","21","RCR","Freehold","Resale","1","610000","-","366","Strata","01 to 05","1667","Jan-2021"
"67","THE BEVERLY","TOH TUCK ROAD","Apartment","21","RCR","Freehold","Resale","1","2280000","-","2713","Strata","01 to 05","841","Jan-2021"
"68","LAKESIDE TOWER","YUAN CHING ROAD","Apartment","22","OCR","99 yrs lease commencing from 1975","Resale","1","1300000","-","1970","Strata","16 to 20","660","Jan-2021"
"69","HILLINGTON GREEN","HILLVIEW AVENUE","Condominium","23","OCR","999 yrs lease commencing from 1883","Resale","1","1848000","-","1528","Strata","06 to 10","1209","Jan-2021"
"70","MIDWOOD","HILLVIEW RISE","Condominium","23","OCR","99 yrs lease commencing from 2018","New Sale","1","822000","-","484","Strata","11 to 15","1697","Jan-2021"
"71","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1513000","-","861","Strata","06 to 10","1757","Jan-2021"
"72","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1521000","-","861","Strata","06 to 10","1766","Jan-2021"
"73","FORETT AT BUKIT TIMAH","TOH TUCK ROAD","Apartment","21","RCR","Freehold","New Sale","1","2510000","-","1302","Strata","01 to 05","1927","Jan-2021"
"74","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","2266000","-","1249","Strata","06 to 10","1815","Jan-2021"
"75","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1312000","-","753","Strata","01 to 05","1741","Jan-2021"
"76","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","2259000","-","1259","Strata","01 to 05","1794","Jan-2021"
"77","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1605000","-","936","Strata","06 to 10","1714","Jan-2021"
"78","MIDWOOD","HILLVIEW RISE","Condominium","23","OCR","99 yrs lease commencing from 2018","New Sale","1","818000","-","484","Strata","11 to 15","1689","Jan-2021"
"79","MIDWOOD","HILLVIEW RISE","Condominium","23","OCR","99 yrs lease commencing from 2018","New Sale","1","788000","-","484","Strata","01 to 05","1627","Jan-2021"
"80","MIDWOOD","HILLVIEW RISE","Condominium","23","OCR","99 yrs lease commencing from 2018","New Sale","1","786000","-","484","Strata","06 to 10","1623","Jan-2021"
"81","FORETT AT BUKIT TIMAH","TOH TUCK ROAD","Apartment","21","RCR","Freehold","New Sale","1","1668000","-","915","Strata","06 to 10","1823","Jan-2021"
"82","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1637000","-","936","Strata","06 to 10","1748","Jan-2021"
"83","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1573000","-","936","Strata","01 to 05","1680","Jan-2021"
"84","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1450000","-","861","Strata","01 to 05","1684","Jan-2021"
"85","MIDWOOD","HILLVIEW RISE","Condominium","23","OCR","99 yrs lease commencing from 2018","New Sale","1","904000","-","549","Strata","06 to 10","1647","Jan-2021"
"86","CASHEW PARK CONDOMINIUM","CASHEW ROAD","Condominium","23","OCR","999 yrs lease commencing from 1882","Resale","1","1460000","-","1367","Strata","01 to 05","1068","Jan-2021"
"87","VIEW AT KISMIS","LORONG KISMIS","Apartment","21","RCR","99 yrs lease commencing from 2019","New Sale","1","1485000","-","883","Strata","01 to 05","1682","Jan-2021"
"88","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1573000","-","936","Strata","01 to 05","1680","Jan-2021"
"89","LAKEPOINT CONDOMINIUM","LAKEPOINT DRIVE","Condominium","22","OCR","99 yrs lease commencing from 1983","Resale","1","1850000","-","2734","Strata","11 to 15","677","Jan-2021"
"90","CLEMENTI PARK","SUNSET WAY","Condominium","21","OCR","Freehold","Resale","1","1100000","-","872","Strata","01 to 05","1262","Jan-2021"
"91","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1368000","-","743","Strata","06 to 10","1842","Jan-2021"
"92","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1655000","-","861","Strata","06 to 10","1922","Jan-2021"
"93","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","2028000","-","1173","Strata","06 to 10","1728","Jan-2021"
"94","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1264000","-","743","Strata","06 to 10","1702","Jan-2021"
"95","CAVENDISH PARK","PINE GROVE","Condominium","21","RCR","99 yrs lease commencing from 1991","Resale","1","1500000","-","1227","Strata","11 to 15","1222","Jan-2021"
"96","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1597000","-","936","Strata","01 to 05","1705","Jan-2021"
"97","PARKVIEW APARTMENTS","BUKIT BATOK STREET 25","Apartment","23","OCR","99 yrs lease commencing from 1994","Resale","1","790000","-","1130","Strata","01 to 05","699","Jan-2021"
"98","VIEW AT KISMIS","LORONG KISMIS","Apartment","21","RCR","99 yrs lease commencing from 2019","New Sale","1","1246000","-","710","Strata","01 to 05","1754","Jan-2021"
"99","YEWTEE RESIDENCES","CHOA CHU KANG NORTH 6","Apartment","23","OCR","99 yrs lease commencing from 2006","Resale","1","1330000","-","1453","Strata","01 to 05","915","Jan-2021"
"100","HILLION RESIDENCES","JELEBU ROAD","Apartment","23","OCR","99 yrs lease commencing from 2013","Resale","1","700000","-","463","Strata","06 to 10","1512","Jan-2021"
"101","FORESQUE RESIDENCES","PETIR ROAD","Condominium","23","OCR","99 yrs lease commencing from 2011","Resale","1","908000","-","732","Strata","16 to 20","1241","Jan-2021"
"102","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1246000","-","743","Strata","01 to 05","1678","Jan-2021"
"103","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1456000","-","861","Strata","01 to 05","1691","Jan-2021"
"104","MAPLE WOODS","BUKIT TIMAH ROAD","Condominium","21","RCR","Freehold","Resale","1","4160000","-","2551","Strata","06 to 10","1631","Jan-2021"
"105","VERDALE","DE SOUZA AVENUE","Apartment","21","RCR","99 yrs lease commencing from 2018","New Sale","1","1056900","-","614","Strata","01 to 05","1723","Jan-2021"
"106","DAIRY FARM RESIDENCES","DAIRY FARM LANE","Apartment","23","OCR","99 yrs lease commencing from 2018","New Sale","1","1000000","-","646","Strata","01 to 05","1548","Jan-2021"
"107","VIEW AT KISMIS","LORONG KISMIS","Apartment","21","RCR","99 yrs lease commencing from 2019","New Sale","1","1550000","-","883","Strata","01 to 05","1756","Jan-2021"
"108","CAVENDISH PARK","PINE GROVE","Condominium","21","RCR","99 yrs lease commencing from 1991","Resale","1","1118000","-","958","Strata","06 to 10","1167","Jan-2021"
"109","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1258000","-","700","Strata","01 to 05","1798","Jan-2021"
"110","THE DAIRY FARM","DAIRY FARM ROAD","Condominium","23","OCR","Freehold","Resale","1","2410000","-","2131","Strata","01 to 05","1131","Jan-2021"
"111","PHOENIX RESIDENCES","PHOENIX AVENUE","Apartment","23","OCR","99 yrs lease commencing from 2019","New Sale","1","867000","-","581","Strata","01 to 05","1492","Jan-2021"
"112","PARKVIEW APARTMENTS","BUKIT BATOK STREET 25","Apartment","23","OCR","99 yrs lease commencing from 1994","Resale","1","800000","-","980","Strata","11 to 15","817","Jan-2021"
"113","CENTURY MANSIONS","JALAN REMAJA","Apartment","23","OCR","Freehold","Resale","1","936000","-","936","Strata","01 to 05","1000","Jan-2021"
"114","NORTHVALE","CHOA CHU KANG LOOP","Apartment","23","OCR","99 yrs lease commencing from 1995","Resale","1","970000","-","1292","Strata","06 to 10","751","Jan-2021"
"115","GARDENVISTA","DUNEARN ROAD","Condominium","21","RCR","99 yrs lease commencing from 1999","Resale","1","1640000","-","1109","Strata","06 to 10","1479","Jan-2021"
"116","THE MADEIRA","BUKIT BATOK STREET 31","Condominium","23","OCR","99 yrs lease commencing from 2000","Resale","1","1050000","-","1302","Strata","01 to 05","806","Jan-2021"
"117","REGENT GROVE","CHOA CHU KANG NORTH 7","Condominium","23","OCR","99 yrs lease commencing from 1997","Resale","1","782000","-","1173","Strata","06 to 10","667","Jan-2021"
"118","PARC ROSEWOOD","ROSEWOOD DRIVE","Condominium","25","OCR","99 yrs lease commencing from 2011","Resale","1","498000","-","431","Strata","01 to 05","1157","Jan-2021"
"119","GUILIN VIEW","BUKIT BATOK STREET 52","Condominium","23","OCR","99 yrs lease commencing from 1996","Resale","1","1060000","-","1281","Strata","21 to 25","828","Jan-2021"
