"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"1","THE TENNERY","WOODLANDS ROAD","Apartment","23","OCR","99 yrs lease commencing from 2010","Resale","1","930000","-","861","Strata","01 to 05","1080","Jan-2021"
"2","THE SKYWOODS","DAIRY FARM HEIGHTS","Condominium","23","OCR","99 yrs lease commencing from 2012","Resale","1","1370000","-","1066","Strata","01 to 05","1286","Jan-2021"
"3","CASTLE GREEN","YIO CHU KANG ROAD","Condominium","26","OCR","99 yrs lease commencing from 1993","Resale","1","1100000","-","1593","Strata","01 to 05","690","Jan-2021"
"4","ASTOR GREEN","PINE GROVE","Condominium","21","RCR","99 yrs lease commencing from 1991","Resale","1","1633000","-","1475","Strata","01 to 05","1107","Jan-2021"
"5","THE RAINTREE","BUKIT DRIVE","Condominium","21","OCR","99 yrs lease commencing from 2003","Resale","1","1600000","-","1335","Strata","06 to 10","1199","Jan-2021"
"6","PARK NATURA","BUKIT BATOK EAST AVENUE 6","Condominium","23","RCR","Freehold","Resale","1","3100000","-","3014","Strata","06 to 10","1029","Jan-2021"
"7","HILLINGTON GREEN","HILLVIEW AVENUE","Condominium","23","OCR","999 yrs lease commencing from 1883","Resale","1","1850000","-","1528","Strata","01 to 05","1210","Jan-2021"
"8","THE HILLFORD","JALAN JURONG KECHIL","Apartment","21","RCR","60 yrs lease commencing from 2013","Resale","1","488000","-","398","Strata","01 to 05","1225","Jan-2021"
"9","NORTHVALE","CHOA CHU KANG LOOP","Apartment","23","OCR","99 yrs lease commencing from 1995","Resale","1","950000","-","1356","Strata","06 to 10","700","Jan-2021"
"10","SPRINGDALE CONDOMINIUM","HINDHEDE WALK","Condominium","21","OCR","999 yrs lease commencing from 1877","Resale","1","1470000","-","1109","Strata","01 to 05","1326","Jan-2021"
"11","MAYSPRINGS","PETIR ROAD","Apartment","23","OCR","99 yrs lease commencing from 1994","Resale","1","1264888","-","1410","Strata","21 to 25","897","Jan-2021"
"12","PARKVIEW APARTMENTS","BUKIT BATOK STREET 25","Apartment","23","OCR","99 yrs lease commencing from 1994","Resale","1","725000","-","980","Strata","11 to 15","740","Jan-2021"
"13","MI CASA","CHOA CHU KANG AVENUE 3","Condominium","23","OCR","99 yrs lease commencing from 2008","Resale","1","945000","-","990","Strata","06 to 10","954","Jan-2021"
"14","THE TENNERY","WOODLANDS ROAD","Apartment","23","OCR","99 yrs lease commencing from 2010","Resale","1","660000","-","614","Strata","11 to 15","1076","Jan-2021"
"15","KINGSFORD . HILLVIEW PEAK","HILLVIEW RISE","Condominium","23","OCR","99 yrs lease commencing from 2012","Resale","1","1725000","-","1572","Strata","01 to 05","1098","Jan-2021"
"16","GARDENVISTA","DUNEARN ROAD","Condominium","21","RCR","99 yrs lease commencing from 1999","Resale","1","1610000","-","1130","Strata","01 to 05","1425","Jan-2021"
"17","CASABLANCA","ROSEWOOD DRIVE","Condominium","25","OCR","99 yrs lease commencing from 2001","Resale","1","720000","-","936","Strata","06 to 10","769","Jan-2021"
"18","PANDAN VALLEY","PANDAN VALLEY","Condominium","21","RCR","Freehold","Resale","1","3000000","-","2669","Strata","06 to 10","1124","Jan-2021"
"19","HAZEL PARK CONDOMINIUM","HAZEL PARK TERRACE","Condominium","23","OCR","999 yrs lease commencing from 1882","Resale","1","1560000","-","1335","Strata","06 to 10","1169","Jan-2021"
"20","HILLVIEW REGENCY","BUKIT BATOK EAST AVENUE 2","Condominium","23","OCR","99 yrs lease commencing from 2000","Resale","1","780000","-","904","Strata","01 to 05","863","Jan-2021"
"21","BULLION PARK","LENTOR LOOP","Condominium","26","OCR","Freehold","Resale","1","970000","-","807","Strata","11 to 15","1202","Jan-2021"
"22","FREESIA WOODS","SUNSET WAY","Condominium","21","OCR","Freehold","Resale","1","2400000","-","2530","Strata","01 to 05","949","Jan-2021"
"23","MAPLE WOODS","BUKIT TIMAH ROAD","Condominium","21","RCR","Freehold","Resale","1","2380000","-","1378","Strata","01 to 05","1727","Jan-2021"
"24","NORTHVALE","CHOA CHU KANG LOOP","Apartment","23","OCR","99 yrs lease commencing from 1995","Resale","1","875000","-","1173","Strata","11 to 15","746","Jan-2021"
"25","THE BLOSSOMVALE","DUNEARN ROAD","Condominium","21","RCR","999 yrs lease commencing from 1884","Resale","1","2261000","-","1399","Strata","01 to 05","1616","Jan-2021"
"26","KINGSFORD . HILLVIEW PEAK","HILLVIEW RISE","Condominium","23","OCR","99 yrs lease commencing from 2012","Resale","1","1460000","-","1098","Strata","06 to 10","1330","Jan-2021"
"27","PARC ROSEWOOD","ROSEWOOD DRIVE","Condominium","25","OCR","99 yrs lease commencing from 2011","Resale","1","625000","-","581","Strata","01 to 05","1075","Jan-2021"
