"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"1","77 @ EAST COAST","UPPER EAST COAST ROAD","Apartment","15","OCR","Freehold","New Sale","1","791000","-","420","Strata","01 to 05","1884","Jan-2021"
"2","AMBER PARK","AMBER GARDENS","Condominium","15","RCR","Freehold","New Sale","1","1678400","-","678","Strata","21 to 25","2475","Jan-2021"
"3","PARC ESTA","SIMS AVENUE","Apartment","14","RCR","99 yrs lease commencing from 2018","New Sale","1","1359000","-","743","Strata","11 to 15","1830","Jan-2021"
"4","MYRA","MEYAPPA CHETTIAR ROAD","Apartment","13","RCR","Freehold","New Sale","1","1874800","-","872","Strata","06 to 10","2150","Jan-2021"
"5","THOMSON 800","THOMSON ROAD","Condominium","11","CCR","Freehold","Resale","1","2470000","-","1625","Strata","11 to 15","1520","Jan-2021"
"6","TIERRA VUE","ST. PATRICK'S ROAD","Condominium","15","OCR","Freehold","Resale","1","3000000","-","2260","Strata","01 to 05","1327","Jan-2021"
"7","AMBER PARK","AMBER GARDENS","Condominium","15","RCR","Freehold","New Sale","1","1631200","-","678","Strata","06 to 10","2405","Jan-2021"
"8","COASTLINE RESIDENCES","AMBER ROAD","Apartment","15","RCR","Freehold","New Sale","1","2558000","-","1109","Strata","06 to 10","2307","Jan-2021"
"9","PULLMAN RESIDENCES NEWTON","DUNEARN ROAD","Apartment","11","CCR","Freehold","New Sale","1","1271000","-","463","Strata","06 to 10","2746","Jan-2021"
"10","THE SUNNY SPRING","LORONG 40 GEYLANG","Apartment","14","RCR","Freehold","Resale","1","1390000","-","1195","Strata","06 to 10","1163","Jan-2021"
"11","VERTICUS","JALAN KEMAMAN","Apartment","12","RCR","Freehold","New Sale","1","1509000","-","753","Strata","11 to 15","2003","Jan-2021"
"12","VISTA RESIDENCES","JALAN DATOH","Condominium","12","RCR","Freehold","Resale","1","1800000","-","1195","Strata","06 to 10","1507","Jan-2021"
"13","PARK EAST","JALAN TUA KONG","Condominium","15","OCR","Freehold","Resale","1","2175000","-","1690","Strata","01 to 05","1287","Jan-2021"
"14","FYVE DERBYSHIRE","DERBYSHIRE ROAD","Apartment","11","CCR","Freehold","New Sale","1","1580000","-","657","Strata","06 to 10","2406","Jan-2021"
"15","BLOSSOMS @ WOODLEIGH","WOODLEIGH CLOSE","Condominium","13","RCR","Freehold","Resale","1","2100000","-","1410","Strata","06 to 10","1489","Jan-2021"
"16","PARK COLONIAL","WOODLEIGH LANE","Condominium","13","RCR","99 yrs lease commencing from 2017","New Sale","1","2236000","-","1184","Strata","11 to 15","1888","Jan-2021"
"17","CENTRAL GROVE","GEYLANG EAST AVENUE 1","Condominium","14","RCR","99 yrs lease commencing from 1997","Resale","1","1288000","-","1206","Strata","16 to 20","1068","Jan-2021"
"18","THE ANTARES","MATTAR ROAD","Apartment","14","RCR","99 yrs lease commencing from 2018","New Sale","1","1267140","-","667","Strata","16 to 20","1899","Jan-2021"
"19","THE ANTARES","MATTAR ROAD","Apartment","14","RCR","99 yrs lease commencing from 2018","New Sale","1","1347720","-","710","Strata","16 to 20","1897","Jan-2021"
"20","SIMS URBAN OASIS","SIMS DRIVE","Condominium","14","RCR","99 yrs lease commencing from 2014","Resale","1","1800000","-","1206","Strata","01 to 05","1493","Jan-2021"
"21","SUITES @ SHREWSBURY","SHREWSBURY ROAD","Apartment","11","CCR","Freehold","Resale","1","579000","-","334","Strata","01 to 05","1735","Jan-2021"
"22","NEPTUNE COURT","MARINE VISTA","Apartment","15","OCR","99 yrs lease commencing from 1975","Resale","1","1438000","-","1636","Strata","06 to 10","879","Jan-2021"
"23","833 M B RESIDENCES","MOUNTBATTEN ROAD","Apartment","15","RCR","Freehold","Resale","1","820000","-","538","Strata","01 to 05","1524","Jan-2021"
"24","L'VIV","NEWTON ROAD","Apartment","11","CCR","Freehold","Resale","1","1340000","-","657","Strata","21 to 25","2041","Jan-2021"
"25","PENROSE","SIMS DRIVE","Apartment","14","RCR","99 yrs lease commencing from 2019","New Sale","1","1423000","-","797","Strata","11 to 15","1786","Jan-2021"
"26","WAI WING CENTRE","BALESTIER ROAD","Apartment","12","RCR","Freehold","Resale","1","1280000","-","1292","Strata","06 to 10","991","Jan-2021"
"27","PINEHURST CONDOMINIUM","LORONG L TELOK KURAU","Condominium","15","OCR","Freehold","Resale","1","1050000","-","926","Strata","01 to 05","1134","Jan-2021"
"28","STARVILLE","LENGKONG TIGA","Condominium","14","OCR","Freehold","Resale","1","1280000","-","1216","Strata","11 to 15","1052","Jan-2021"
"29","77 @ EAST COAST","UPPER EAST COAST ROAD","Apartment","15","OCR","Freehold","New Sale","1","1270000","-","743","Strata","01 to 05","1710","Jan-2021"
"30","SANCTUARY GREEN","TANJONG RHU ROAD","Condominium","15","RCR","99 yrs lease commencing from 1997","Resale","1","1630000","-","1399","Strata","01 to 05","1165","Jan-2021"
"31","URBAN TREASURES","JALAN EUNOS","Condominium","14","OCR","Freehold","New Sale","1","1388000","-","700","Strata","11 to 15","1984","Jan-2021"
"32","AMBER PARK","AMBER GARDENS","Condominium","15","RCR","Freehold","New Sale","1","2706210","-","1109","Strata","16 to 20","2441","Jan-2021"
"33","THE ANTARES","MATTAR ROAD","Apartment","14","RCR","99 yrs lease commencing from 2018","New Sale","1","1315080","-","732","Strata","06 to 10","1797","Jan-2021"
"34","MEIER SUITES","MARGATE ROAD","Condominium","15","RCR","Freehold","Resale","1","3838000","-","2228","Strata","16 to 20","1723","Jan-2021"
"35","AALTO","MEYER ROAD","Condominium","15","RCR","Freehold","Resale","1","3950000","-","1959","Strata","06 to 10","2016","Jan-2021"
"36","THE SEAFRONT ON MEYER","MEYER ROAD","Condominium","15","RCR","Freehold","Resale","1","2860000","-","1615","Strata","11 to 15","1771","Jan-2021"
"37","AMARYLLIS VILLE","NEWTON ROAD","Condominium","11","CCR","99 yrs lease commencing from 1997","Resale","1","2010000","-","1238","Strata","11 to 15","1624","Jan-2021"
"38","EIGHT RIVERSUITES","WHAMPOA EAST","Condominium","12","RCR","99 yrs lease commencing from 2011","Resale","1","725000","-","441","Strata","11 to 15","1643","Jan-2021"
"39","SEASIDE RESIDENCES","SIGLAP LINK","Apartment","15","OCR","99 yrs lease commencing from 2016","New Sale","1","1205000","-","592","Strata","21 to 25","2035","Jan-2021"
"40","LAGUNA PARK","MARINE PARADE ROAD","Apartment","15","OCR","99 yrs lease commencing from 1977","Resale","1","1600000","-","1453","Strata","11 to 15","1101","Jan-2021"
"41","VERTICUS","JALAN KEMAMAN","Apartment","12","RCR","Freehold","New Sale","1","1035000","-","463","Strata","21 to 25","2236","Jan-2021"
"42","VERTICUS","JALAN KEMAMAN","Apartment","12","RCR","Freehold","New Sale","1","979000","-","441","Strata","21 to 25","2218","Jan-2021"
"43","VACANZA @ EAST","LENGKONG TUJOH","Condominium","14","OCR","Freehold","Resale","1","835000","-","732","Strata","01 to 05","1141","Jan-2021"
"44","AMBER PARK","AMBER GARDENS","Condominium","15","RCR","Freehold","New Sale","1","1859760","-","743","Strata","16 to 20","2504","Jan-2021"
"45","REZI 24","LORONG 24 GEYLANG","Apartment","14","RCR","Freehold","New Sale","1","850100","-","517","Strata","01 to 05","1645","Jan-2021"
"46","THE SEAWIND","LORONG M TELOK KURAU","Condominium","15","OCR","Freehold","Resale","1","1396000","-","936","Strata","01 to 05","1491","Jan-2021"
"47","NEU AT NOVENA","MOULMEIN RISE","Apartment","11","CCR","Freehold","New Sale","1","1688000","-","646","Strata","06 to 10","2614","Jan-2021"
"48","SIGLAP V","FIRST STREET","Apartment","15","OCR","Freehold","Resale","1","580000","-","452","Strata","01 to 05","1283","Jan-2021"
"49","SIGLAP V","FIRST STREET","Apartment","15","OCR","Freehold","Resale","1","800000","-","570","Strata","01 to 05","1402","Jan-2021"
"50","GUILLEMARD VIEW","GUILLEMARD ROAD","Apartment","14","RCR","Freehold","Resale","1","1068000","-","1163","Strata","01 to 05","919","Jan-2021"
"51","SIMS DORADO","LORONG 39 GEYLANG","Apartment","14","RCR","Freehold","Resale","1","980000","-","861","Strata","01 to 05","1138","Jan-2021"
"52","KATONG REGENCY","TANJONG KATONG ROAD","Apartment","15","RCR","Freehold","Resale","1","1088999","-","710","Strata","06 to 10","1533","Jan-2021"
"53","AMBER SKYE","AMBER ROAD","Apartment","15","RCR","Freehold","Resale","1","2900000","-","1335","Strata","11 to 15","2173","Jan-2021"
"54","SIMS URBAN OASIS","SIMS DRIVE","Condominium","14","RCR","99 yrs lease commencing from 2014","Resale","1","969000","-","667","Strata","11 to 15","1452","Jan-2021"
"55","THE MEYERISE","MEYER ROAD","Condominium","15","RCR","Freehold","Resale","1","1788000","-","883","Strata","06 to 10","2026","Jan-2021"
"56","KIM KEAT LODGE","KIM KEAT ROAD","Apartment","12","RCR","Freehold","Resale","1","1470000","-","1378","Strata","06 to 10","1067","Jan-2021"
"57","PASADENA","DERBYSHIRE ROAD","Apartment","11","CCR","Freehold","Resale","1","2200000","-","2702","Strata","16 to 20","814","Jan-2021"
"58","THE MAKENA","MEYER ROAD","Condominium","15","RCR","Freehold","Resale","1","2550000","-","1636","Strata","16 to 20","1559","Jan-2021"
"59","URBAN TREASURES","JALAN EUNOS","Condominium","14","OCR","Freehold","New Sale","1","1972000","-","1012","Strata","11 to 15","1949","Jan-2021"
"60","RIVEREDGE","SAMPAN PLACE","Condominium","15","RCR","99 yrs lease commencing from 2004","Resale","1","2328800","-","1593","Strata","06 to 10","1462","Jan-2021"
"61","SIMS URBAN OASIS","SIMS DRIVE","Condominium","14","RCR","99 yrs lease commencing from 2014","Resale","1","750000","-","474","Strata","01 to 05","1584","Jan-2021"
"62","SILVERSEA","MARINE PARADE ROAD","Condominium","15","RCR","99 yrs lease commencing from 2007","Resale","1","3100000","-","1690","Strata","11 to 15","1834","Jan-2021"
"63","FYVE DERBYSHIRE","DERBYSHIRE ROAD","Apartment","11","CCR","Freehold","New Sale","1","1921590","-","797","Strata","16 to 20","2412","Jan-2021"
"64","EDENZ SUITES","LORONG 28 GEYLANG","Apartment","14","RCR","Freehold","Resale","1","620000","-","495","Strata","01 to 05","1252","Jan-2021"
"65","SEASIDE RESIDENCES","SIGLAP LINK","Apartment","15","OCR","99 yrs lease commencing from 2016","Sub Sale","1","2350000","-","1259","Strata","06 to 10","1866","Jan-2021"
"66","SEASIDE RESIDENCES","SIGLAP LINK","Apartment","15","OCR","99 yrs lease commencing from 2016","New Sale","1","1260000","-","775","Strata","26 to 30","1626","Jan-2021"
"67","THE WOODLEIGH RESIDENCES","BIDADARI PARK DRIVE","Apartment","13","RCR","99 yrs lease commencing from 2017","New Sale","1","3000000","-","1281","Strata","11 to 15","2342","Jan-2021"
"68","THE LINE @ TANJONG RHU","TANJONG RHU ROAD","Condominium","15","RCR","Freehold","Resale","1","2557440","-","1184","Strata","11 to 15","2160","Jan-2021"
"69","VERTICUS","JALAN KEMAMAN","Apartment","12","RCR","Freehold","New Sale","1","969000","-","441","Strata","16 to 20","2196","Jan-2021"
"70","VERTICUS","JALAN KEMAMAN","Apartment","12","RCR","Freehold","New Sale","1","1270000","-","635","Strata","11 to 15","2000","Jan-2021"
"71","PARC ESTA","SIMS AVENUE","Apartment","14","RCR","99 yrs lease commencing from 2018","New Sale","1","2121000","-","1227","Strata","01 to 05","1728","Jan-2021"
"72","AMBER PARK","AMBER GARDENS","Condominium","15","RCR","Freehold","New Sale","1","1674400","-","678","Strata","16 to 20","2469","Jan-2021"
"73","PENROSE","SIMS DRIVE","Apartment","14","RCR","99 yrs lease commencing from 2019","New Sale","1","1578000","-","969","Strata","01 to 05","1629","Jan-2021"
