"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"1","WHISTLER GRAND","WEST COAST VALE","Apartment","05","OCR","99 yrs lease commencing from 2018","New Sale","1","1060800","-","689","Strata","36 to 40","1540","Jan-2021"
"2","WHISTLER GRAND","WEST COAST VALE","Apartment","05","OCR","99 yrs lease commencing from 2018","New Sale","1","2033600","-","1442","Strata","26 to 30","1410","Jan-2021"
"3","WHISTLER GRAND","WEST COAST VALE","Apartment","05","OCR","99 yrs lease commencing from 2018","New Sale","1","788800","-","441","Strata","31 to 35","1787","Jan-2021"
"4","AVENUE SOUTH RESIDENCE","SILAT AVENUE","Apartment","03","RCR","99 yrs lease commencing from 2018","New Sale","1","1092000","-","527","Strata","21 to 25","2070","Jan-2021"
"5","NORMANTON PARK","NORMANTON PARK","Apartment","05","RCR","99 years leasehold","New Sale","1","1640808","-","936","Strata","11 to 15","1752","Jan-2021"
"6","NORMANTON PARK","NORMANTON PARK","Apartment","05","RCR","99 years leasehold","New Sale","1","1972941","-","1098","Strata","16 to 20","1797","Jan-2021"
"7","AVENUE SOUTH RESIDENCE","SILAT AVENUE","Apartment","03","RCR","99 yrs lease commencing from 2018","New Sale","1","2965000","-","1496","Strata","26 to 30","1982","Jan-2021"
"8","ONE PEARL BANK","PEARL BANK","Apartment","03","RCR","99 yrs lease commencing from 2019","New Sale","1","1925000","-","893","Strata","06 to 10","2155","Jan-2021"
"9","WHISTLER GRAND","WEST COAST VALE","Apartment","05","OCR","99 yrs lease commencing from 2018","New Sale","1","1941600","-","1378","Strata","36 to 40","1409","Jan-2021"
"10","ONE PEARL BANK","PEARL BANK","Apartment","03","RCR","99 yrs lease commencing from 2019","New Sale","1","2011000","-","893","Strata","16 to 20","2251","Jan-2021"
"11","NORMANTON PARK","NORMANTON PARK","Apartment","05","RCR","99 years leasehold","New Sale","1","1173920","-","667","Strata","01 to 05","1759","Jan-2021"
"12","NORMANTON PARK","NORMANTON PARK","Apartment","05","RCR","99 years leasehold","New Sale","1","1976400","-","1098","Strata","16 to 20","1800","Jan-2021"
"13","NORMANTON PARK","NORMANTON PARK","Apartment","05","RCR","99 years leasehold","New Sale","1","1316136","-","732","Strata","06 to 10","1798","Jan-2021"
