"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"1","KANDIS RESIDENCE","KANDIS LINK","Condominium","27","OCR","99 yrs lease commencing from 2016","New Sale","1","963700","-","797","Strata","01 to 05","1210","Jan-2021"
"2","KANDIS RESIDENCE","KANDIS LINK","Condominium","27","OCR","99 yrs lease commencing from 2016","New Sale","1","980800","-","797","Strata","06 to 10","1231","Jan-2021"
"3","KANDIS RESIDENCE","KANDIS LINK","Condominium","27","OCR","99 yrs lease commencing from 2016","New Sale","1","926000","-","732","Strata","01 to 05","1265","Jan-2021"
"4","KANDIS RESIDENCE","KANDIS LINK","Condominium","27","OCR","99 yrs lease commencing from 2016","New Sale","1","971000","-","797","Strata","01 to 05","1219","Jan-2021"
"5","KANDIS RESIDENCE","KANDIS LINK","Condominium","27","OCR","99 yrs lease commencing from 2016","New Sale","1","1018000","-","807","Strata","01 to 05","1261","Jan-2021"
"6","PARC BOTANNIA","FERNVALE STREET","Condominium","28","OCR","99 yrs lease commencing from 2016","New Sale","1","1123980","-","786","Strata","16 to 20","1430","Jan-2021"
"7","KANDIS RESIDENCE","KANDIS LINK","Condominium","27","OCR","99 yrs lease commencing from 2016","New Sale","1","956400","-","797","Strata","01 to 05","1201","Jan-2021"
"8","PARC BOTANNIA","FERNVALE STREET","Condominium","28","OCR","99 yrs lease commencing from 2016","New Sale","1","1060000","-","786","Strata","06 to 10","1349","Dec-2020"
"9","KANDIS RESIDENCE","KANDIS LINK","Condominium","27","OCR","99 yrs lease commencing from 2016","New Sale","1","973500","-","797","Strata","01 to 05","1222","Dec-2020"
"10","KANDIS RESIDENCE","KANDIS LINK","Condominium","27","OCR","99 yrs lease commencing from 2016","New Sale","1","970000","-","732","Strata","01 to 05","1325","Dec-2020"
"11","KANDIS RESIDENCE","KANDIS LINK","Condominium","27","OCR","99 yrs lease commencing from 2016","New Sale","1","958200","-","807","Strata","01 to 05","1187","Nov-2020"
"12","KANDIS RESIDENCE","KANDIS LINK","Condominium","27","OCR","99 yrs lease commencing from 2016","New Sale","1","956400","-","797","Strata","01 to 05","1201","Nov-2020"
"13","KANDIS RESIDENCE","KANDIS LINK","Condominium","27","OCR","99 yrs lease commencing from 2016","New Sale","1","1039800","-","807","Strata","01 to 05","1288","Nov-2020"
"14","KANDIS RESIDENCE","KANDIS LINK","Condominium","27","OCR","99 yrs lease commencing from 2016","New Sale","1","965000","-","808","Strata","01 to 05","1194","Oct-2020"
"15","KANDIS RESIDENCE","KANDIS LINK","Condominium","27","OCR","99 yrs lease commencing from 2016","New Sale","1","946000","-","807","Strata","01 to 05","1172","Sep-2020"
"16","KANDIS RESIDENCE","KANDIS LINK","Condominium","27","OCR","99 yrs lease commencing from 2016","New Sale","1","975800","-","797","Strata","01 to 05","1225","Sep-2020"
"17","KANDIS RESIDENCE","KANDIS LINK","Condominium","27","OCR","99 yrs lease commencing from 2016","New Sale","1","1019000","-","732","Strata","06 to 10","1392","Sep-2020"
"18","PARC BOTANNIA","FERNVALE STREET","Condominium","28","OCR","99 yrs lease commencing from 2016","New Sale","1","972180","-","667","Strata","21 to 25","1457","Aug-2020"
"19","KANDIS RESIDENCE","KANDIS LINK","Condominium","27","OCR","99 yrs lease commencing from 2016","New Sale","1","951000","-","764","Strata","01 to 05","1244","Jul-2020"
