"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"1","UPTOWN @ FARRER","PERUMAL ROAD","Apartment","08","RCR","99 yrs lease commencing from 2017","New Sale","1","1900000","-","1001","Strata","16 to 20","1898","Jan-2021"
"2","RV ALTITUDE","RIVER VALLEY ROAD","Apartment","09","CCR","Freehold","New Sale","1","1704000","-","624","Strata","01 to 05","2729","Jan-2021"
"3","HAUS ON HANDY","HANDY ROAD","Condominium","09","CCR","99 yrs lease commencing from 2018","New Sale","1","1378880","-","517","Strata","06 to 10","2669","Jan-2021"
"4","THE M","MIDDLE ROAD","Apartment","07","CCR","99 yrs lease commencing from 2019","New Sale","1","1900000","-","753","Strata","11 to 15","2522","Jan-2021"
"5","KOPAR AT NEWTON","MAKEWAY AVENUE","Apartment","09","CCR","99 yrs lease commencing from 2019","New Sale","1","2262000","-","958","Strata","11 to 15","2361","Jan-2021"
"6","KOPAR AT NEWTON","MAKEWAY AVENUE","Apartment","09","CCR","99 yrs lease commencing from 2019","New Sale","1","2224000","-","958","Strata","11 to 15","2322","Jan-2021"
"7","KOPAR AT NEWTON","MAKEWAY AVENUE","Apartment","09","CCR","99 yrs lease commencing from 2019","New Sale","1","1459000","-","689","Strata","01 to 05","2118","Jan-2021"
"8","KOPAR AT NEWTON","MAKEWAY AVENUE","Apartment","09","CCR","99 yrs lease commencing from 2019","New Sale","1","1561000","-","689","Strata","06 to 10","2266","Jan-2021"
"9","UPTOWN @ FARRER","PERUMAL ROAD","Apartment","08","RCR","99 yrs lease commencing from 2017","New Sale","1","1805000","-","1033","Strata","06 to 10","1747","Jan-2021"
"10","HAUS ON HANDY","HANDY ROAD","Condominium","09","CCR","99 yrs lease commencing from 2018","New Sale","1","1374880","-","517","Strata","06 to 10","2661","Jan-2021"
"11","KOPAR AT NEWTON","MAKEWAY AVENUE","Apartment","09","CCR","99 yrs lease commencing from 2019","New Sale","1","2458000","-","1098","Strata","06 to 10","2239","Jan-2021"
"12","ROYALGREEN","ANAMALAI AVENUE","Condominium","10","CCR","Freehold","New Sale","1","2880000","-","1066","Strata","01 to 05","2703","Jan-2021"
"13","ROYALGREEN","ANAMALAI AVENUE","Condominium","10","CCR","Freehold","New Sale","1","1936800","-","721","Strata","01 to 05","2686","Jan-2021"
"14","ROYALGREEN","ANAMALAI AVENUE","Condominium","10","CCR","Freehold","New Sale","1","1710000","-","635","Strata","01 to 05","2693","Jan-2021"
"15","FOURTH AVENUE RESIDENCES","FOURTH AVENUE","Apartment","10","CCR","99 yrs lease commencing from 2018","New Sale","1","1098000","-","484","Strata","01 to 05","2267","Jan-2021"
"16","UPTOWN @ FARRER","PERUMAL ROAD","Apartment","08","RCR","99 yrs lease commencing from 2017","New Sale","1","1436000","-","732","Strata","21 to 25","1962","Jan-2021"
"17","UPTOWN @ FARRER","PERUMAL ROAD","Apartment","08","RCR","99 yrs lease commencing from 2017","New Sale","1","1308000","-","732","Strata","06 to 10","1787","Jan-2021"
"18","ROYALGREEN","ANAMALAI AVENUE","Condominium","10","CCR","Freehold","New Sale","1","2788000","-","1066","Strata","01 to 05","2616","Jan-2021"
"19","THE AVENIR","RIVER VALLEY CLOSE","Condominium","09","CCR","Freehold","New Sale","1","4429000","-","1528","Strata","06 to 10","2898","Jan-2021"
"20","THE AVENIR","RIVER VALLEY CLOSE","Condominium","09","CCR","Freehold","New Sale","1","1613000","-","538","Strata","06 to 10","2997","Jan-2021"
"21","JUNIPER HILL","EWE BOON ROAD","Apartment","10","CCR","Freehold","New Sale","1","2429000","-","915","Strata","06 to 10","2655","Jan-2021"
"22","ROYALGREEN","ANAMALAI AVENUE","Condominium","10","CCR","Freehold","New Sale","1","1818000","-","667","Strata","01 to 05","2724","Jan-2021"
"23","KOPAR AT NEWTON","MAKEWAY AVENUE","Apartment","09","CCR","99 yrs lease commencing from 2019","New Sale","1","1252000","-","517","Strata","11 to 15","2423","Jan-2021"
"24","HAUS ON HANDY","HANDY ROAD","Condominium","09","CCR","99 yrs lease commencing from 2018","New Sale","1","1382880","-","517","Strata","11 to 15","2677","Jan-2021"
"25","FOURTH AVENUE RESIDENCES","FOURTH AVENUE","Apartment","10","CCR","99 yrs lease commencing from 2018","New Sale","1","1158000","-","484","Strata","06 to 10","2391","Jan-2021"
"26","KOPAR AT NEWTON","MAKEWAY AVENUE","Apartment","09","CCR","99 yrs lease commencing from 2019","New Sale","1","1148000","-","517","Strata","01 to 05","2222","Jan-2021"
"27","LEEDON GREEN","LEEDON HEIGHTS","Condominium","10","CCR","Freehold","New Sale","1","4180800","-","1496","Strata","06 to 10","2794","Jan-2021"
"28","KOPAR AT NEWTON","MAKEWAY AVENUE","Apartment","09","CCR","99 yrs lease commencing from 2019","New Sale","1","1498000","-","614","Strata","06 to 10","2442","Jan-2021"
"29","THE M","MIDDLE ROAD","Apartment","07","CCR","99 yrs lease commencing from 2019","New Sale","1","1900000","-","753","Strata","11 to 15","2522","Jan-2021"
"30","RV ALTITUDE","RIVER VALLEY ROAD","Apartment","09","CCR","Freehold","New Sale","1","1398000","-","441","Strata","11 to 15","3168","Jan-2021"
"31","FOURTH AVENUE RESIDENCES","FOURTH AVENUE","Apartment","10","CCR","99 yrs lease commencing from 2018","New Sale","1","1118000","-","484","Strata","06 to 10","2308","Jan-2021"
"32","THE M","MIDDLE ROAD","Apartment","07","CCR","99 yrs lease commencing from 2019","New Sale","1","1900000","-","753","Strata","11 to 15","2522","Jan-2021"
"33","THE HYDE","BALMORAL ROAD","Condominium","10","CCR","Freehold","New Sale","1","2203000","-","775","Strata","01 to 05","2843","Jan-2021"
"34","LEEDON GREEN","LEEDON HEIGHTS","Condominium","10","CCR","Freehold","New Sale","1","1499000","-","538","Strata","01 to 05","2785","Jan-2021"
"35","THE AVENIR","RIVER VALLEY CLOSE","Condominium","09","CCR","Freehold","New Sale","1","3494000","-","1141","Strata","21 to 25","3062","Jan-2021"
"36","ROYALGREEN","ANAMALAI AVENUE","Condominium","10","CCR","Freehold","New Sale","1","3960000","-","1432","Strata","01 to 05","2766","Jan-2021"
"37","LEEDON GREEN","LEEDON HEIGHTS","Condominium","10","CCR","Freehold","New Sale","1","1520000","-","538","Strata","06 to 10","2824","Jan-2021"
"38","MARTIN MODERN","MARTIN PLACE","Condominium","09","CCR","99 yrs lease commencing from 2016","New Sale","1","1980700","-","764","Strata","01 to 05","2592","Jan-2021"
"39","THE AVENIR","RIVER VALLEY CLOSE","Condominium","09","CCR","Freehold","New Sale","1","6491000","-","2067","Strata","16 to 20","3141","Jan-2021"
"40","ROYALGREEN","ANAMALAI AVENUE","Condominium","10","CCR","Freehold","New Sale","1","2860000","-","1044","Strata","01 to 05","2739","Jan-2021"
"41","UPTOWN @ FARRER","PERUMAL ROAD","Apartment","08","RCR","99 yrs lease commencing from 2017","New Sale","1","1038000","-","538","Strata","11 to 15","1929","Jan-2021"
"42","LEEDON GREEN","LEEDON HEIGHTS","Condominium","10","CCR","Freehold","New Sale","1","1640000","-","614","Strata","01 to 05","2673","Jan-2021"
"43","THE HYDE","BALMORAL ROAD","Condominium","10","CCR","Freehold","New Sale","1","2192000","-","775","Strata","01 to 05","2828","Jan-2021"
"44","UPTOWN @ FARRER","PERUMAL ROAD","Apartment","08","RCR","99 yrs lease commencing from 2017","New Sale","1","1103000","-","527","Strata","16 to 20","2091","Jan-2021"
"45","MIDTOWN BAY","BEACH ROAD","Apartment","07","CCR","99 yrs lease commencing from 2018","New Sale","1","1520900","1499300","484","Strata","06 to 10","3095","Jan-2021"
"46","THE AVENIR","RIVER VALLEY CLOSE","Condominium","09","CCR","Freehold","New Sale","1","2500000","-","829","Strata","11 to 15","3016","Jan-2021"
"47","BOULEVARD 88","ORCHARD BOULEVARD","Apartment","10","CCR","Freehold","New Sale","1","6586800","-","1776","Strata","16 to 20","3709","Jan-2021"
"48","RV ALTITUDE","RIVER VALLEY ROAD","Apartment","09","CCR","Freehold","New Sale","1","1688000","-","603","Strata","06 to 10","2800","Jan-2021"
"49","LEEDON GREEN","LEEDON HEIGHTS","Condominium","10","CCR","Freehold","New Sale","1","2189700","-","818","Strata","01 to 05","2677","Jan-2021"
"50","ROYALGREEN","ANAMALAI AVENUE","Condominium","10","CCR","Freehold","New Sale","1","2313000","-","829","Strata","01 to 05","2791","Jan-2021"
"51","THE M","MIDDLE ROAD","Apartment","07","CCR","99 yrs lease commencing from 2019","New Sale","1","1687000","-","667","Strata","11 to 15","2528","Jan-2021"
"52","UPTOWN @ FARRER","PERUMAL ROAD","Apartment","08","RCR","99 yrs lease commencing from 2017","New Sale","1","1091329","-","538","Strata","16 to 20","2028","Jan-2021"
"53","UPTOWN @ FARRER","PERUMAL ROAD","Apartment","08","RCR","99 yrs lease commencing from 2017","New Sale","1","1017331","-","538","Strata","11 to 15","1890","Jan-2021"
"54","THE AVENIR","RIVER VALLEY CLOSE","Condominium","09","CCR","Freehold","New Sale","1","2384000","-","829","Strata","01 to 05","2876","Dec-2020"
"55","VAN HOLLAND","HOLLAND ROAD","Condominium","10","CCR","Freehold","New Sale","1","5118000","-","1991","Strata","01 to 05","2570","Dec-2020"
