"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"1","JADESCAPE","SHUNFU ROAD","Condominium","20","RCR","99 yrs lease commencing from 2018","New Sale","1","1305000","-","764","Strata","01 to 05","1708","Jan-2021"
"2","THE GARDEN RESIDENCES","SERANGOON NORTH VIEW","Apartment","19","OCR","99 yrs lease commencing from 2017","New Sale","1","1636300","-","904","Strata","11 to 15","1810","Jan-2021"
"3","THE JOVELL","FLORA DRIVE","Condominium","17","OCR","99 yrs lease commencing from 2018","New Sale","1","1198900","-","1033","Strata","01 to 05","1160","Jan-2021"
"4","SENGKANG GRAND RESIDENCES","COMPASSVALE BOW","Apartment","19","OCR","99 yrs lease commencing from 2018","New Sale","1","2271200","-","1313","Strata","06 to 10","1730","Jan-2021"
"5","SENGKANG GRAND RESIDENCES","COMPASSVALE BOW","Apartment","19","OCR","99 yrs lease commencing from 2018","New Sale","1","1241600","-","764","Strata","06 to 10","1625","Jan-2021"
"6","SENGKANG GRAND RESIDENCES","COMPASSVALE BOW","Apartment","19","OCR","99 yrs lease commencing from 2018","New Sale","1","1320000","-","764","Strata","06 to 10","1727","Jan-2021"
"7","SENGKANG GRAND RESIDENCES","COMPASSVALE BOW","Apartment","19","OCR","99 yrs lease commencing from 2018","New Sale","1","1791200","-","1055","Strata","11 to 15","1698","Jan-2021"
"8","SENGKANG GRAND RESIDENCES","COMPASSVALE BOW","Apartment","19","OCR","99 yrs lease commencing from 2018","New Sale","1","1299200","-","764","Strata","06 to 10","1700","Jan-2021"
"9","RIVERFRONT RESIDENCES","HOUGANG AVENUE 7","Apartment","19","OCR","99 yrs lease commencing from 2018","New Sale","1","1261112","-","915","Strata","11 to 15","1378","Jan-2021"
"10","RIVERFRONT RESIDENCES","HOUGANG AVENUE 7","Apartment","19","OCR","99 yrs lease commencing from 2018","New Sale","1","2188112","-","1679","Strata","01 to 05","1303","Jan-2021"
